Season,Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn
0,HORTICULTURE,11,19,1,1,43,929,2018-12-30T17:19:52.363
0,HORTICULTURE,11,138,27,1,43,935,2018-12-30T17:19:48.293
0,AGRICULTURE,17,211,23,3,36,186,2018-12-30T17:19:47.23
0,HORTICULTURE,7,230,1,1,43,935,2018-12-30T17:18:47.45
0,HORTICULTURE,11,138,23,1,43,935,2018-12-30T17:11:21.08
0,HORTICULTURE,22,75,55,6,20,231,2018-12-30T17:10:14.903
0,AGRICULTURE,5,174,1,3,46,341,2018-12-30T17:01:24.323
0,HORTICULTURE,11,138,1,3,46,807,2018-12-30T16:52:54.2
0,AGRICULTURE,18,172,67,0,49,240,2018-12-30T16:25:54.263
0,AGRICULTURE,18,172,67,0,49,240,2018-12-30T16:25:43.03
0,ANIMAL HUSBANDRY,2,184,26,2,33,443,2018-12-30T16:24:30.07
0,HORTICULTURE,7,230,23,1,43,460,2018-12-30T16:17:56.647
0,HORTICULTURE,22,191,1,4,29,823,2018-12-30T16:14:44.497
0,AGRICULTURE,18,172,67,4,29,823,2018-12-30T16:10:54.41
0,ANIMAL HUSBANDRY,2,36,21,2,33,793,2018-12-30T16:10:48.433
0,ANIMAL HUSBANDRY,2,36,25,1,4,719,2018-12-30T16:03:01.033
0,HORTICULTURE,11,152,23,3,36,24,2018-12-30T15:44:02.743
0,AGRICULTURE,18,172,67,2,33,512,2018-12-30T15:35:13.007
0,HORTICULTURE,22,58,1,3,36,635,2018-12-30T15:28:14.093
0,AGRICULTURE,5,174,1,3,36,223,2018-12-30T15:21:08.3
0,HORTICULTURE,22,23,1,0,49,48,2018-12-30T15:15:08.213
0,AGRICULTURE,18,172,67,6,39,330,2018-12-30T15:05:48.21
0,HORTICULTURE,22,191,47,6,20,732,2018-12-30T14:53:34.437
0,AGRICULTURE,18,172,67,6,20,329,2018-12-30T14:51:32.02
0,HORTICULTURE,22,191,1,4,29,823,2018-12-30T14:50:34.813
0,ANIMAL HUSBANDRY,2,36,12,1,4,833,2018-12-30T14:41:25.56
0,HORTICULTURE,22,178,38,5,19,110,2018-12-30T14:29:15.03
0,HORTICULTURE,11,148,1,5,19,774,2018-12-30T14:21:14.603
0,HORTICULTURE,22,75,47,3,46,540,2018-12-30T14:13:09.357
0,AGRICULTURE,18,172,67,2,33,512,2018-12-30T14:10:55.087
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T14:10:01.343
0,AGRICULTURE,5,241,27,5,19,110,2018-12-30T14:01:33.553
0,HORTICULTURE,22,32,38,3,36,186,2018-12-30T13:55:37.027
0,AGRICULTURE,20,0,1,3,36,917,2018-12-30T13:53:19.29
0,AGRICULTURE,10,22,1,5,19,774,2018-12-30T13:51:14.63
0,AGRICULTURE,18,172,38,1,4,898,2018-12-30T13:48:02.76
0,AGRICULTURE,5,174,67,0,49,240,2018-12-30T13:43:16.42
0,AGRICULTURE,18,172,38,1,43,929,2018-12-30T13:34:26.867
0,HORTICULTURE,11,157,1,3,46,44,2018-12-30T13:31:22.113
0,AGRICULTURE,18,172,67,1,43,929,2018-12-30T13:27:41.51
0,HORTICULTURE,22,58,23,0,49,240,2018-12-30T13:26:30.48
0,HORTICULTURE,22,58,23,0,49,240,2018-12-30T13:25:56.177
0,AGRICULTURE,5,174,38,0,49,240,2018-12-30T13:24:08.13
0,HORTICULTURE,22,75,1,1,4,864,2018-12-30T13:22:59.66
0,AGRICULTURE,18,172,67,3,46,891,2018-12-30T13:18:40.99
0,AGRICULTURE,5,241,1,5,19,110,2018-12-30T13:11:33.45
0,AGRICULTURE,18,172,67,2,33,443,2018-12-30T12:51:37.91
0,AGRICULTURE,5,241,2,0,48,733,2018-12-30T12:50:05.617
0,AGRICULTURE,18,172,67,3,36,917,2018-12-30T12:46:03.343
0,AGRICULTURE,17,161,1,4,29,799,2018-12-30T12:30:51.23
0,HORTICULTURE,22,191,1,4,29,570,2018-12-30T12:29:05.147
0,AGRICULTURE,5,174,1,6,39,296,2018-12-30T12:25:56.477
0,AGRICULTURE,18,172,67,0,48,738,2018-12-30T12:23:47.337
0,AGRICULTURE,18,172,68,1,43,802,2018-12-30T12:20:53.69
0,AGRICULTURE,10,202,1,1,43,547,2018-12-30T12:17:45.77
0,HORTICULTURE,11,160,23,3,36,524,2018-12-30T12:17:33.32
0,AGRICULTURE,17,161,27,6,39,331,2018-12-30T12:15:15.07
0,HORTICULTURE,22,75,1,3,46,711,2018-12-30T12:14:24.073
0,HORTICULTURE,22,231,1,1,4,833,2018-12-30T12:07:36.877
0,HORTICULTURE,22,231,1,1,4,833,2018-12-30T12:06:46.173
0,AGRICULTURE,18,172,38,1,43,460,2018-12-30T12:05:34.197
0,AGRICULTURE,17,161,1,2,33,443,2018-12-30T12:03:22.39
0,AGRICULTURE,18,172,67,2,33,443,2018-12-30T11:59:05.45
0,AGRICULTURE,5,241,2,1,43,389,2018-12-30T11:55:00.293
0,AGRICULTURE,5,241,1,6,39,569,2018-12-30T11:54:42.43
0,HORTICULTURE,22,231,23,0,49,21,2018-12-30T11:49:42.19
0,AGRICULTURE,5,174,43,0,48,858,2018-12-30T11:47:44.313
0,AGRICULTURE,17,161,1,2,33,443,2018-12-30T11:47:21.147
0,AGRICULTURE,5,174,43,0,48,858,2018-12-30T11:46:55.967
0,HORTICULTURE,22,192,23,6,39,296,2018-12-30T11:44:26.58
0,HORTICULTURE,22,191,1,6,20,696,2018-12-30T11:40:26.787
0,AGRICULTURE,17,161,1,4,29,673,2018-12-30T11:37:14
0,HORTICULTURE,22,191,47,6,20,696,2018-12-30T11:36:28.633
0,AGRICULTURE,18,172,67,3,36,744,2018-12-30T11:28:13.09
0,AGRICULTURE,18,172,67,2,33,443,2018-12-30T11:27:47.32
0,HORTICULTURE,22,169,23,0,49,240,2018-12-30T11:26:02.033
0,HORTICULTURE,22,0,55,0,49,240,2018-12-30T11:25:56.323
0,AGRICULTURE,18,172,67,3,36,905,2018-12-30T11:20:42.9
0,AGRICULTURE,0,0,67,2,33,443,2018-12-30T11:10:54.753
0,AGRICULTURE,18,172,67,2,33,443,2018-12-30T11:08:47.783
0,AGRICULTURE,18,172,67,4,29,433,2018-12-30T11:07:05.617
0,AGRICULTURE,20,27,27,1,43,929,2018-12-30T11:03:29.583
0,HORTICULTURE,22,191,1,6,20,231,2018-12-30T11:00:34.923
0,AGRICULTURE,18,172,67,3,36,55,2018-12-30T10:54:41.81
0,AGRICULTURE,5,241,1,5,19,656,2018-12-30T10:50:01.707
0,HORTICULTURE,11,148,1,5,19,774,2018-12-30T10:39:43.563
0,AGRICULTURE,18,172,54,3,36,744,2018-12-30T10:38:55.25
0,ANIMAL HUSBANDRY,3,88,12,0,49,21,2018-12-30T10:26:49.587
0,AGRICULTURE,17,161,47,2,33,793,2018-12-30T10:24:34.44
0,AGRICULTURE,5,241,54,0,49,240,2018-12-30T10:18:52.453
0,AGRICULTURE,20,27,1,2,33,793,2018-12-30T10:17:46.073
0,ANIMAL HUSBANDRY,2,36,11,3,36,572,2018-12-30T10:15:57.713
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T10:15:23.313
0,HORTICULTURE,22,231,23,1,43,909,2018-12-30T10:14:18.34
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T10:14:16.31
0,AGRICULTURE,18,172,67,0,48,733,2018-12-30T10:08:57.053
0,HORTICULTURE,22,191,23,6,20,307,2018-12-30T10:08:43.917
0,AGRICULTURE,18,172,38,2,33,348,2018-12-30T10:04:57.29
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T10:04:33.89
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T10:03:57.247
0,AGRICULTURE,18,172,67,2,33,793,2018-12-30T10:02:43.72
0,HORTICULTURE,6,91,1,1,43,900,2018-12-30T09:53:33.36
0,AGRICULTURE,5,241,47,2,33,443,2018-12-30T09:52:44.733
0,HORTICULTURE,22,191,1,6,20,231,2018-12-30T09:51:25.22
0,AGRICULTURE,18,172,67,3,36,55,2018-12-30T09:51:22.567
0,AGRICULTURE,18,172,67,3,36,555,2018-12-30T09:39:17.297
0,AGRICULTURE,5,241,47,5,19,774,2018-12-30T09:31:23.5
0,ANIMAL HUSBANDRY,2,36,18,3,36,553,2018-12-30T09:29:54.78
0,HORTICULTURE,22,231,1,1,4,833,2018-12-30T09:18:24.063
0,HORTICULTURE,22,231,1,1,4,898,2018-12-30T09:14:49.09
0,AGRICULTURE,18,172,67,0,49,21,2018-12-30T09:13:52.71
0,AGRICULTURE,18,172,67,5,19,453,2018-12-30T09:11:35.133
0,AGRICULTURE,5,174,27,0,48,733,2018-12-30T09:11:28.003
0,AGRICULTURE,18,172,2,1,43,460,2018-12-30T09:10:50.423
0,AGRICULTURE,5,174,1,6,39,687,2018-12-30T09:01:19.64
0,AGRICULTURE,16,215,54,3,36,555,2018-12-30T08:59:50.89
0,HORTICULTURE,22,169,1,2,33,443,2018-12-30T08:52:32.273
0,HORTICULTURE,22,191,1,4,29,570,2018-12-30T08:49:44.35
0,HORTICULTURE,22,48,47,6,20,231,2018-12-30T08:41:48.543
0,HORTICULTURE,19,190,55,5,19,656,2018-12-30T08:40:44.83
0,AGRICULTURE,17,196,1,6,39,687,2018-12-30T08:38:47.11
0,AGRICULTURE,20,139,1,6,39,687,2018-12-30T08:38:30.403
0,AGRICULTURE,0,0,3,5,19,656,2018-12-30T08:32:47.387
0,HORTICULTURE,22,219,1,3,46,645,2018-12-30T08:10:17.57
0,HORTICULTURE,22,219,1,3,46,645,2018-12-30T08:09:41.957
0,HORTICULTURE,22,191,47,6,39,296,2018-12-30T08:06:40.633
