Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
1,18,172,67,2,33,839
1,18,172,38,1,43,935
1,5,241,2,0,48,733
1,18,0,38,1,43,935
1,5,241,68,1,43,94
1,18,172,38,1,43,929
1,17,211,58,3,36,553
1,5,174,1,6,20,450
1,18,172,43,1,43,460
4,22,30,1,0,49,48
1,17,161,1,5,19,453
1,18,172,67,0,49,21
4,22,178,23,5,19,656
4,22,54,1,0,48,513
1,20,27,23,0,49,21
1,20,27,23,0,49,21
1,5,241,2,0,49,21
1,18,172,38,3,36,905
1,18,172,67,3,36,905
1,18,172,67,0,49,240
1,5,241,47,0,49,21
4,22,169,1,3,36,905
4,22,32,1,0,48,733
4,22,32,1,0,48,733
1,18,172,38,3,36,651
4,22,191,1,5,19,516
1,5,241,27,5,19,774
4,11,148,1,3,46,195
1,18,0,67,3,36,905
4,22,191,1,6,20,732
4,22,191,1,4,29,673
4,22,231,55,6,39,330
1,18,172,67,6,39,330
4,22,58,1,1,4,41
1,18,172,67,3,36,905
4,22,191,1,6,20,732
1,5,241,27,5,19,110
1,16,147,1,1,4,41
1,0,0,56,1,4,155
1,18,172,67,5,19,62
4,11,19,1,1,43,547
4,22,191,28,4,29,823
1,18,172,1,1,4,833
4,22,58,47,3,36,284
1,18,172,67,2,33,348
1,18,172,67,3,36,651
1,18,172,43,3,36,476
4,22,169,47,6,20,66
4,15,114,1,6,39,331
1,17,53,47,1,43,929
1,18,172,67,3,36,905
1,18,172,67,3,36,651
1,18,172,67,3,36,651
1,18,172,38,3,36,905
1,18,172,67,3,36,223
1,18,172,38,1,43,94
1,18,172,67,6,20,47
1,18,172,67,3,36,651
1,5,174,68,3,46,807
1,5,174,47,3,46,807
1,18,172,67,3,36,905
1,5,174,1,6,20,66
1,18,172,67,3,36,905
1,18,172,67,3,36,651
4,22,191,47,6,20,231
1,18,172,67,3,36,905
1,18,172,67,3,36,905
1,18,172,38,0,49,884
4,22,188,47,6,20,66
1,18,172,67,3,36,905
1,18,172,43,3,36,40
1,18,172,38,3,36,905
1,18,172,67,3,36,651
4,22,231,27,3,46,23
1,18,172,67,3,36,651
4,11,63,1,1,43,802
1,18,172,67,3,36,651
